trade_id,direction,entry_price,close_price,close_reason,bars_held,was_time_stopped,pnl_r,post_close_12h_price,post_close_12h_pct_from_entry,post_close_12h_would_have_won,post_close_24h_price,post_close_24h_pct_from_entry,post_close_24h_would_have_won,post_close_48h_price,post_close_48h_pct_from_entry,post_close_48h_would_have_won,post_close_72h_price,post_close_72h_pct_from_entry,post_close_72h_would_have_won,post_close_96h_price,post_close_96h_pct_from_entry,post_close_96h_would_have_won,ranging_score
3517521e-1c28-47da-88b6-beefccaa1d3a,LONG,65690.97,66592.17,trailing_stop,21,False,1.057,63793.02,-2.8892,False,63554.7,-3.252,False,58222.29,-11.3694,False,54422.47,-17.1538,False,52000.0,-20.8415,False,0.0
8d2b8110-0a18-498c-91f5-56686d9d74a5,LONG,63595.25,64531.48,trailing_stop,23,False,1.1414,64140.87,0.858,True,65309.52,2.6956,True,65963.63,3.7241,True,68228.6,7.2857,True,70811.14,11.3466,True,0.0
c06a38b8-7578-4bf0-8b81-004a04f051a8,SHORT,65319.9,66228.75,stop_loss,17,False,-0.4,65731.92,0.6308,False,67431.76,3.2331,False,70105.41,7.3263,False,74300.23,13.7482,False,78175.0,19.6802,False,0.0
26c98373-a5f0-443d-8add-82a2d6aa3a51,LONG,65331.76,65551.575,trailing_stop,1,False,0.5031,68228.6,4.434,True,68755.35,5.2403,True,73330.98,12.244,True,76796.6,17.5486,True,,,,0.0
676c2071-deb6-4b43-8b08-4065a31ea43c,SHORT,44955.04,45443.12,stop_loss,14,False,-1.0,45113.67,0.3529,False,44901.33,-0.1195,True,44871.02,-0.1869,True,45321.86,0.816,False,44570.09,-0.8563,True,0.0
de96569f-fd19-4606-8cec-5bc208253af1,LONG,45113.67,44629.21,stop_loss,15,False,-1.0,44840.35,-0.6058,False,45044.43,-0.1535,False,45181.25,0.1498,True,44639.56,-1.0509,False,44822.16,-0.6462,False,0.0
995206aa-f395-4f56-b320-fd0d07a1261e,SHORT,44851.96,45327.92,stop_loss,16,False,-1.0,45187.78,0.7487,False,45011.76,0.3563,False,44779.04,-0.1626,True,44605.78,-0.5489,True,45446.65,1.3259,False,0.0
07399707-59ce-44cf-8261-bc9f8a467e43,SHORT,45283.43,44757.38,trailing_stop,14,False,1.0317,44850.78,-0.9554,True,45393.31,0.2426,False,44620.41,-1.4642,True,44998.31,-0.6296,True,,,,0.0
7bda8835-520e-4f4e-b5fe-0a5a1a93da7f,SHORT,44844.61,45365.25,stop_loss,10,False,-1.0,45163.11,0.7102,False,44813.43,-0.0695,True,45721.15,1.9546,False,,,,,,,0.0
2c793ec8-6128-449e-b7b0-e2b66d1874f9,SHORT,64940.39,65753.85,stop_loss,9,False,-1.0,65152.87,0.3272,False,63848.48,-1.6814,True,65597.21,1.0114,False,,,,,,,0.0
